#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T04:26:09.48947Z,AC room,1,19.73,00:00:05
,,0,2025-05-06T04:26:14.507094Z,AC room,2,19.63,00:00:10
,,0,2025-05-06T04:26:19.528257Z,AC room,3,19.57,00:00:15
,,0,2025-05-06T04:26:24.440214Z,AC room,4,19.55,00:00:20
,,0,2025-05-06T04:26:29.460135Z,AC room,5,19.45,00:00:25
,,0,2025-05-06T04:26:34.578614Z,AC room,6,19.41,00:00:30
,,0,2025-05-06T04:26:39.493557Z,AC room,7,19.37,00:00:35
,,0,2025-05-06T04:26:44.611039Z,AC room,8,19.35,00:00:40
,,0,2025-05-06T04:26:49.526784Z,AC room,9,19.31,00:00:45
,,0,2025-05-06T04:26:54.445097Z,AC room,10,19.25,00:00:50
,,0,2025-05-06T04:26:59.462618Z,AC room,11,19.23,00:00:55
,,0,2025-05-06T04:27:04.479626Z,AC room,12,19.17,00:01:00
,,0,2025-05-06T04:27:09.492338Z,AC room,13,19.21,00:01:05
,,0,2025-05-06T04:27:14.506621Z,AC room,14,19.19,00:01:10
,,0,2025-05-06T04:27:19.638892Z,AC room,15,19.19,00:01:15
,,0,2025-05-06T04:27:24.439525Z,AC room,16,19.19,00:01:20
,,0,2025-05-06T04:27:29.46591Z,AC room,17,19.19,00:01:25
,,0,2025-05-06T04:27:34.480303Z,AC room,18,19.17,00:01:30
,,0,2025-05-06T04:27:39.5028Z,AC room,19,19.17,00:01:35
,,0,2025-05-06T04:27:44.619437Z,AC room,20,19.19,00:01:40
,,0,2025-05-06T04:27:49.535889Z,AC room,21,19.17,00:01:45
,,0,2025-05-06T04:27:54.448036Z,AC room,22,19.21,00:01:50
,,0,2025-05-06T04:27:59.469Z,AC room,23,19.19,00:01:55
,,0,2025-05-06T04:28:04.488618Z,AC room,24,19.19,00:02:00
,,0,2025-05-06T04:28:09.503057Z,AC room,25,19.19,00:02:05
,,0,2025-05-06T04:28:14.620531Z,AC room,26,19.21,00:02:10
,,0,2025-05-06T04:28:19.436137Z,AC room,27,19.19,00:02:15
,,0,2025-05-06T04:28:24.453213Z,AC room,28,19.21,00:02:20
,,0,2025-05-06T04:28:29.587944Z,AC room,29,19.21,00:02:25
,,0,2025-05-06T04:28:34.491812Z,AC room,30,19.23,00:02:30
,,0,2025-05-06T04:28:39.509094Z,AC room,31,19.21,00:02:35
,,0,2025-05-06T04:28:44.518612Z,AC room,32,19.23,00:02:40
,,0,2025-05-06T04:28:49.438873Z,AC room,33,19.21,00:02:45
,,0,2025-05-06T04:28:54.657934Z,AC room,34,19.21,00:02:50
,,0,2025-05-06T04:28:59.474477Z,AC room,35,19.25,00:02:55
,,0,2025-05-06T04:29:04.494486Z,AC room,36,19.25,00:03:00
,,0,2025-05-06T04:29:09.50671Z,AC room,37,19.25,00:03:05
,,0,2025-05-06T04:29:14.629837Z,AC room,38,19.29,00:03:10
,,0,2025-05-06T04:29:19.437449Z,AC room,39,19.25,00:03:15
,,0,2025-05-06T04:29:24.46287Z,AC room,40,19.29,00:03:20
,,0,2025-05-06T04:29:29.47973Z,AC room,41,19.35,00:03:25
,,0,2025-05-06T04:29:34.49577Z,AC room,42,19.35,00:03:30
,,0,2025-05-06T04:29:39.511065Z,AC room,43,19.37,00:03:35
,,0,2025-05-06T04:29:44.635009Z,AC room,44,19.35,00:03:40
,,0,2025-05-06T04:29:49.442967Z,AC room,45,19.37,00:03:45
,,0,2025-05-06T04:29:54.45955Z,AC room,46,19.51,00:03:50
,,0,2025-05-06T04:29:59.439285Z,AC room,47,19.47,00:03:55
,,0,2025-05-06T04:30:04.766753Z,AC room,48,19.53,00:04:00
,,0,2025-05-06T04:30:09.788715Z,AC room,49,19.53,00:04:05
,,0,2025-05-06T04:30:14.702435Z,AC room,50,19.53,00:04:10
,,0,2025-05-06T04:30:19.450484Z,AC room,51,19.45,00:04:15
,,0,2025-05-06T04:30:24.466891Z,AC room,52,19.47,00:04:20
,,0,2025-05-06T04:30:29.482966Z,AC room,53,19.43,00:04:25
,,0,2025-05-06T04:30:34.501358Z,AC room,54,19.37,00:04:30
,,0,2025-05-06T04:30:39.516146Z,AC room,55,19.31,00:04:35
,,0,2025-05-06T04:30:44.436024Z,AC room,56,19.33,00:04:40
,,0,2025-05-06T04:30:49.454647Z,AC room,57,19.25,00:04:45
,,0,2025-05-06T04:30:54.471216Z,AC room,58,19.19,00:04:50
,,0,2025-05-06T04:30:59.488468Z,AC room,59,19.09,00:04:55
,,0,2025-05-06T04:31:04.508487Z,AC room,60,18.99,00:05:00
,,0,2025-05-06T04:31:09.41599Z,AC room,61,18.89,00:05:05
,,0,2025-05-06T04:31:14.440052Z,AC room,62,18.79,00:05:10
,,0,2025-05-06T04:31:19.434268Z,AC room,63,18.63,00:05:15
,,0,2025-05-06T04:31:24.477229Z,AC room,64,18.47,00:05:20
,,0,2025-05-06T04:31:29.485941Z,AC room,65,18.37,00:05:25
,,0,2025-05-06T04:31:34.508391Z,AC room,66,18.31,00:05:30
,,0,2025-05-06T04:31:39.522602Z,AC room,67,18.23,00:05:35
,,0,2025-05-06T04:31:44.442747Z,AC room,68,18.17,00:05:40
,,0,2025-05-06T04:31:49.462402Z,AC room,69,18.13,00:05:45
,,0,2025-05-06T04:31:54.586799Z,AC room,70,18.05,00:05:50
,,0,2025-05-06T04:31:59.494654Z,AC room,71,18.03,00:05:55
,,0,2025-05-06T04:32:04.509335Z,AC room,72,18.03,00:06:00
,,0,2025-05-06T04:32:09.531349Z,AC room,73,17.97,00:06:05
,,0,2025-05-06T04:32:14.44305Z,AC room,74,17.95,00:06:10
,,0,2025-05-06T04:32:19.463197Z,AC room,75,17.91,00:06:15
,,0,2025-05-06T04:32:24.481997Z,AC room,76,17.95,00:06:20
,,0,2025-05-06T04:32:29.499563Z,AC room,77,17.89,00:06:25
,,0,2025-05-06T04:32:34.515037Z,AC room,78,17.85,00:06:30
,,0,2025-05-06T04:32:39.53559Z,AC room,79,17.81,00:06:35
,,0,2025-05-06T04:32:44.447707Z,AC room,80,17.79,00:06:40
,,0,2025-05-06T04:32:49.570474Z,AC room,81,17.75,00:06:45
,,0,2025-05-06T04:32:54.485947Z,AC room,82,17.67,00:06:50
,,0,2025-05-06T04:32:59.441205Z,AC room,83,17.65,00:06:55
,,0,2025-05-06T04:33:04.520967Z,AC room,84,17.63,00:07:00
,,0,2025-05-06T04:33:09.536364Z,AC room,85,17.59,00:07:05
,,0,2025-05-06T04:33:14.451556Z,AC room,86,17.53,00:07:10
,,0,2025-05-06T04:33:19.471117Z,AC room,87,17.53,00:07:15
,,0,2025-05-06T04:33:24.488152Z,AC room,88,17.45,00:07:20
,,0,2025-05-06T04:33:29.504391Z,AC room,89,17.43,00:07:25
,,0,2025-05-06T04:33:34.525848Z,AC room,90,17.41,00:07:30
,,0,2025-05-06T04:33:39.439563Z,AC room,91,17.33,00:07:35
,,0,2025-05-06T04:33:44.451533Z,AC room,92,17.33,00:07:40
,,0,2025-05-06T04:33:49.473051Z,AC room,93,17.33,00:07:45
,,0,2025-05-06T04:33:54.486521Z,AC room,94,17.23,00:07:50
,,0,2025-05-06T04:33:59.510171Z,AC room,95,17.21,00:07:55
,,0,2025-05-06T04:34:04.522908Z,AC room,96,17.17,00:08:00
,,0,2025-05-06T04:34:09.444768Z,AC room,97,17.11,00:08:05
,,0,2025-05-06T04:34:14.457365Z,AC room,98,17.07,00:08:10
,,0,2025-05-06T04:34:19.474Z,AC room,99,17.01,00:08:15
,,0,2025-05-06T04:34:24.494591Z,AC room,100,17.03,00:08:20
,,0,2025-05-06T04:34:29.5128Z,AC room,101,16.95,00:08:25
,,0,2025-05-06T04:34:34.52901Z,AC room,102,16.95,00:08:30
,,0,2025-05-06T04:34:39.446016Z,AC room,103,16.97,00:08:35
,,0,2025-05-06T04:34:44.464083Z,AC room,104,17.01,00:08:40
,,0,2025-05-06T04:34:49.481972Z,AC room,105,16.99,00:08:45
,,0,2025-05-06T04:34:54.494997Z,AC room,106,16.99,00:08:50
,,0,2025-05-06T04:34:59.628625Z,AC room,107,17.03,00:08:55
,,0,2025-05-06T04:35:04.534781Z,AC room,108,17.07,00:09:00
,,0,2025-05-06T04:35:09.445165Z,AC room,109,17.13,00:09:05
,,0,2025-05-06T04:35:14.463903Z,AC room,110,17.15,00:09:10
,,0,2025-05-06T04:35:19.480172Z,AC room,111,17.19,00:09:15
,,0,2025-05-06T04:35:24.498861Z,AC room,112,17.23,00:09:20
,,0,2025-05-06T04:35:29.522027Z,AC room,113,17.29,00:09:25
,,0,2025-05-06T04:35:34.538555Z,AC room,114,17.31,00:09:30
,,0,2025-05-06T04:35:39.55886Z,AC room,115,17.35,00:09:35
,,0,2025-05-06T04:35:44.46784Z,AC room,116,17.41,00:09:40
,,0,2025-05-06T04:35:49.591229Z,AC room,117,17.45,00:09:45
,,0,2025-05-06T04:35:54.506469Z,AC room,118,17.47,00:09:50
,,0,2025-05-06T04:35:59.523827Z,AC room,119,17.55,00:09:55
,,0,2025-05-06T04:36:04.541447Z,AC room,120,17.55,00:10:00
,,0,2025-05-06T04:36:09.454154Z,AC room,121,17.61,00:10:05
,,0,2025-05-06T04:36:14.473052Z,AC room,122,17.61,00:10:10
,,0,2025-05-06T04:36:19.486777Z,AC room,123,17.65,00:10:15
,,0,2025-05-06T04:36:24.621946Z,AC room,124,17.73,00:10:20
,,0,2025-05-06T04:36:29.527066Z,AC room,125,17.75,00:10:25
,,0,2025-05-06T04:36:34.443881Z,AC room,126,17.79,00:10:30
,,0,2025-05-06T04:36:39.460736Z,AC room,127,17.81,00:10:35
,,0,2025-05-06T04:36:44.476789Z,AC room,128,17.85,00:10:40
,,0,2025-05-06T04:36:49.510044Z,AC room,129,17.87,00:10:45
,,0,2025-05-06T04:36:54.511086Z,AC room,130,17.95,00:10:50
,,0,2025-05-06T04:36:59.528074Z,AC room,131,17.97,00:10:55
,,0,2025-05-06T04:37:04.44375Z,AC room,132,17.99,00:11:00
,,0,2025-05-06T04:37:09.566099Z,AC room,133,18.03,00:11:05
,,0,2025-05-06T04:37:14.478364Z,AC room,134,18.05,00:11:10
,,0,2025-05-06T04:37:19.49443Z,AC room,135,18.07,00:11:15
,,0,2025-05-06T04:37:24.471935Z,AC room,136,18.11,00:11:20
,,0,2025-05-06T04:37:29.527697Z,AC room,137,18.11,00:11:25
,,0,2025-05-06T04:37:34.447547Z,AC room,138,18.21,00:11:30
,,0,2025-05-06T04:37:39.466745Z,AC room,139,18.21,00:11:35
,,0,2025-05-06T04:37:44.459072Z,AC room,140,18.25,00:11:40
,,0,2025-05-06T04:37:49.502099Z,AC room,141,18.25,00:11:45
,,0,2025-05-06T04:37:54.519582Z,AC room,142,18.25,00:11:50
,,0,2025-05-06T04:37:59.53715Z,AC room,143,18.27,00:11:55
,,0,2025-05-06T04:38:04.446943Z,AC room,144,18.31,00:12:00
,,0,2025-05-06T04:38:09.464307Z,AC room,145,18.31,00:12:05
,,0,2025-05-06T04:38:14.489575Z,AC room,146,18.33,00:12:10
,,0,2025-05-06T04:38:19.503128Z,AC room,147,18.35,00:12:15
,,0,2025-05-06T04:38:24.519665Z,AC room,148,18.41,00:12:20
,,0,2025-05-06T04:38:29.542958Z,AC room,149,18.41,00:12:25
,,0,2025-05-06T04:38:34.452423Z,AC room,150,18.45,00:12:30
,,0,2025-05-06T04:38:39.472018Z,AC room,151,18.45,00:12:35
,,0,2025-05-06T04:38:44.491621Z,AC room,152,18.49,00:12:40
,,0,2025-05-06T04:38:49.507711Z,AC room,153,18.47,00:12:45
,,0,2025-05-06T04:38:54.529195Z,AC room,154,18.49,00:12:50
,,0,2025-05-06T04:38:59.441858Z,AC room,155,18.49,00:12:55
,,0,2025-05-06T04:39:04.457612Z,AC room,156,18.53,00:13:00
,,0,2025-05-06T04:39:09.475516Z,AC room,157,18.53,00:13:05
,,0,2025-05-06T04:39:14.490516Z,AC room,158,18.55,00:13:10
,,0,2025-05-06T04:39:19.512181Z,AC room,159,18.57,00:13:15
,,0,2025-05-06T04:39:24.528773Z,AC room,160,18.57,00:13:20
,,0,2025-05-06T04:39:29.547775Z,AC room,161,18.57,00:13:25
,,0,2025-05-06T04:39:34.462093Z,AC room,162,18.59,00:13:30
,,0,2025-05-06T04:39:39.480016Z,AC room,163,18.59,00:13:35
,,0,2025-05-06T04:39:44.493919Z,AC room,164,18.63,00:13:40
,,0,2025-05-06T04:39:49.514344Z,AC room,165,18.59,00:13:45
,,0,2025-05-06T04:39:54.534676Z,AC room,166,18.65,00:13:50
,,0,2025-05-06T04:39:59.447354Z,AC room,167,18.67,00:13:55
,,0,2025-05-06T04:40:04.469072Z,AC room,168,18.71,00:14:00
,,0,2025-05-06T04:40:09.478919Z,AC room,169,18.71,00:14:05
,,0,2025-05-06T04:40:14.500657Z,AC room,170,18.69,00:14:10
,,0,2025-05-06T04:40:19.51604Z,AC room,171,18.69,00:14:15
,,0,2025-05-06T04:40:24.539839Z,AC room,172,18.73,00:14:20
