#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T03:12:18.403932Z,Ice,1,16.67,00:00:13
,,0,2025-05-06T03:12:23.3171Z,Ice,2,16.33,00:00:18
,,0,2025-05-06T03:12:28.318879Z,Ice,3,15.99,00:00:23
,,0,2025-05-06T03:12:33.32747Z,Ice,4,15.67,00:00:28
,,0,2025-05-06T03:12:38.327454Z,Ice,5,15.37,00:00:33
,,0,2025-05-06T03:12:43.321511Z,Ice,6,14.97,00:00:38
,,0,2025-05-06T03:12:48.321279Z,Ice,7,14.63,00:00:43
,,0,2025-05-06T03:12:53.323985Z,Ice,8,14.31,00:00:48
,,0,2025-05-06T03:12:58.327242Z,Ice,9,13.93,00:00:53
,,0,2025-05-06T03:13:03.320643Z,Ice,10,13.57,00:00:58
,,0,2025-05-06T03:13:08.325601Z,Ice,11,13.19,00:01:03
,,0,2025-05-06T03:13:13.327434Z,Ice,12,12.79,00:01:08
,,0,2025-05-06T03:13:18.326966Z,Ice,13,12.49,00:01:13
,,0,2025-05-06T03:13:23.332191Z,Ice,14,12.17,00:01:18
,,0,2025-05-06T03:13:28.332873Z,Ice,15,11.87,00:01:23
,,0,2025-05-06T03:13:33.320858Z,Ice,16,11.63,00:01:28
,,0,2025-05-06T03:13:38.329318Z,Ice,17,11.33,00:01:33
,,0,2025-05-06T03:13:43.326739Z,Ice,18,11.03,00:01:38
,,0,2025-05-06T03:13:48.320857Z,Ice,19,10.83,00:01:43
,,0,2025-05-06T03:13:53.320279Z,Ice,20,10.73,00:01:48
,,0,2025-05-06T03:13:58.326767Z,Ice,21,10.69,00:01:53
,,0,2025-05-06T03:14:03.327199Z,Ice,22,10.61,00:01:58
,,0,2025-05-06T03:14:08.323899Z,Ice,23,10.49,00:02:03
,,0,2025-05-06T03:14:13.321058Z,Ice,24,10.33,00:02:08
,,0,2025-05-06T03:14:18.319807Z,Ice,25,10.11,00:02:13
,,0,2025-05-06T03:14:23.324167Z,Ice,26,9.93,00:02:18
,,0,2025-05-06T03:14:28.328403Z,Ice,27,9.79,00:02:23
,,0,2025-05-06T03:14:33.320176Z,Ice,28,9.65,00:02:28
,,0,2025-05-06T03:14:38.320513Z,Ice,29,9.63,00:02:33
,,0,2025-05-06T03:14:43.324286Z,Ice,30,9.57,00:02:38
,,0,2025-05-06T03:14:48.320246Z,Ice,31,9.53,00:02:43
,,0,2025-05-06T03:14:53.324487Z,Ice,32,9.47,00:02:48
,,0,2025-05-06T03:14:58.319363Z,Ice,33,9.47,00:02:53
,,0,2025-05-06T03:15:03.343472Z,Ice,34,9.43,00:02:58
,,0,2025-05-06T03:15:08.3226Z,Ice,35,9.45,00:03:03
,,0,2025-05-06T03:15:13.320039Z,Ice,36,9.49,00:03:08
,,0,2025-05-06T03:15:18.319912Z,Ice,37,9.49,00:03:13
,,0,2025-05-06T03:15:23.320367Z,Ice,38,9.47,00:03:18
,,0,2025-05-06T03:15:28.320155Z,Ice,39,9.49,00:03:23
,,0,2025-05-06T03:15:33.319743Z,Ice,40,9.53,00:03:28
,,0,2025-05-06T03:15:38.320097Z,Ice,41,9.53,00:03:33
,,0,2025-05-06T03:15:43.320074Z,Ice,42,9.55,00:03:38
,,0,2025-05-06T03:15:48.330348Z,Ice,43,9.61,00:03:43
,,0,2025-05-06T03:15:53.327609Z,Ice,44,9.67,00:03:48
,,0,2025-05-06T03:15:58.31981Z,Ice,45,9.77,00:03:53
,,0,2025-05-06T03:16:03.324602Z,Ice,46,9.83,00:03:58
,,0,2025-05-06T03:16:08.324946Z,Ice,47,9.85,00:04:03
,,0,2025-05-06T03:16:13.329702Z,Ice,48,9.87,00:04:08
,,0,2025-05-06T03:16:18.328843Z,Ice,49,9.85,00:04:13
,,0,2025-05-06T03:16:23.333036Z,Ice,50,9.89,00:04:18
,,0,2025-05-06T03:16:28.331286Z,Ice,51,9.85,00:04:23
,,0,2025-05-06T03:16:33.337975Z,Ice,52,9.79,00:04:28
,,0,2025-05-06T03:16:38.329937Z,Ice,53,9.73,00:04:33
,,0,2025-05-06T03:16:43.329682Z,Ice,54,9.71,00:04:38
