#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T16:36:09.174982Z,lawn during daytime,1,35.35,00:00:05
,,0,2025-05-06T16:36:14.264974Z,lawn during daytime,2,35.53,00:00:10
,,0,2025-05-06T16:36:19.10331Z,lawn during daytime,3,35.71,00:00:15
,,0,2025-05-06T16:36:24.222178Z,lawn during daytime,4,35.77,00:00:20
,,0,2025-05-06T16:36:29.288226Z,lawn during daytime,5,35.89,00:00:25
,,0,2025-05-06T16:36:34.064934Z,lawn during daytime,6,36.07,00:00:30
,,0,2025-05-06T16:36:39.162254Z,lawn during daytime,7,36.21,00:00:35
,,0,2025-05-06T16:36:44.125493Z,lawn during daytime,8,36.13,00:00:40
,,0,2025-05-06T16:36:49.193874Z,lawn during daytime,9,35.99,00:00:45
,,0,2025-05-06T16:36:54.207879Z,lawn during daytime,10,35.71,00:00:50
,,0,2025-05-06T16:36:59.073801Z,lawn during daytime,11,35.59,00:00:55
,,0,2025-05-06T16:37:04.19492Z,lawn during daytime,12,35.57,00:01:00
,,0,2025-05-06T16:37:09.109593Z,lawn during daytime,13,35.57,00:01:05
,,0,2025-05-06T16:37:14.127743Z,lawn during daytime,14,35.59,00:01:10
,,0,2025-05-06T16:37:19.111612Z,lawn during daytime,15,35.43,00:01:15
,,0,2025-05-06T16:37:24.165742Z,lawn during daytime,16,35.39,00:01:20
,,0,2025-05-06T16:37:29.078684Z,lawn during daytime,17,35.23,00:01:25
,,0,2025-05-06T16:37:34.212204Z,lawn during daytime,18,35.11,00:01:30
,,0,2025-05-06T16:37:39.063761Z,lawn during daytime,19,34.93,00:01:35
,,0,2025-05-06T16:37:44.231148Z,lawn during daytime,20,34.53,00:01:40
,,0,2025-05-06T16:37:49.148968Z,lawn during daytime,21,33.97,00:01:45
,,0,2025-05-06T16:37:54.168695Z,lawn during daytime,22,33.53,00:01:50
,,0,2025-05-06T16:37:59.083354Z,lawn during daytime,23,32.97,00:01:55
,,0,2025-05-06T16:38:04.195623Z,lawn during daytime,24,32.53,00:02:00
,,0,2025-05-06T16:38:09.129027Z,lawn during daytime,25,32.15,00:02:05
