#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T03:50:04.541149Z,lawn during nighttime,1,16.41,00:00:05
,,0,2025-05-06T03:50:09.55691Z,lawn during nighttime,2,16.37,00:00:10
,,0,2025-05-06T03:50:14.653946Z,lawn during nighttime,3,16.37,00:00:15
,,0,2025-05-06T03:50:19.503299Z,lawn during nighttime,4,16.37,00:00:20
,,0,2025-05-06T03:50:24.50474Z,lawn during nighttime,5,16.41,00:00:25
,,0,2025-05-06T03:50:29.644842Z,lawn during nighttime,6,16.37,00:00:30
,,0,2025-05-06T03:50:34.657318Z,lawn during nighttime,7,16.45,00:00:35
,,0,2025-05-06T03:50:39.566497Z,lawn during nighttime,8,16.45,00:00:40
,,0,2025-05-06T03:50:44.579139Z,lawn during nighttime,9,16.49,00:00:45
,,0,2025-05-06T03:50:49.494058Z,lawn during nighttime,10,16.49,00:00:50
,,0,2025-05-06T03:50:54.508575Z,lawn during nighttime,11,16.49,00:00:55
,,0,2025-05-06T03:50:59.527428Z,lawn during nighttime,12,16.51,00:01:00
,,0,2025-05-06T03:51:04.545695Z,lawn during nighttime,13,16.49,00:01:05
,,0,2025-05-06T03:51:09.560092Z,lawn during nighttime,14,16.53,00:01:10
,,0,2025-05-06T03:51:14.502747Z,lawn during nighttime,15,16.51,00:01:15
,,0,2025-05-06T03:51:19.496495Z,lawn during nighttime,16,16.51,00:01:20
,,0,2025-05-06T03:51:24.509523Z,lawn during nighttime,17,16.49,00:01:25
,,0,2025-05-06T03:51:29.528398Z,lawn during nighttime,18,16.47,00:01:30
,,0,2025-05-06T03:51:34.549324Z,lawn during nighttime,19,16.45,00:01:35
,,0,2025-05-06T03:51:39.561683Z,lawn during nighttime,20,16.43,00:01:40
,,0,2025-05-06T03:51:44.480337Z,lawn during nighttime,21,16.37,00:01:45
,,0,2025-05-06T03:51:49.499712Z,lawn during nighttime,22,16.35,00:01:50
,,0,2025-05-06T03:51:54.680697Z,lawn during nighttime,23,16.33,00:01:55
,,0,2025-05-06T03:51:59.498374Z,lawn during nighttime,24,16.33,00:02:00
,,0,2025-05-06T03:52:04.620643Z,lawn during nighttime,25,16.31,00:02:05
,,0,2025-05-06T03:52:09.736086Z,lawn during nighttime,26,16.31,00:02:10
,,0,2025-05-06T03:52:14.607423Z,lawn during nighttime,27,16.31,00:02:15
,,0,2025-05-06T03:52:19.568587Z,lawn during nighttime,28,16.33,00:02:20
,,0,2025-05-06T03:52:24.723587Z,lawn during nighttime,29,16.37,00:02:25
,,0,2025-05-06T03:52:29.742336Z,lawn during nighttime,30,16.43,00:02:30
,,0,2025-05-06T03:52:34.470902Z,lawn during nighttime,31,16.45,00:02:35
,,0,2025-05-06T03:52:39.573438Z,lawn during nighttime,32,16.49,00:02:40
,,0,2025-05-06T03:52:44.489462Z,lawn during nighttime,33,16.51,00:02:45
,,0,2025-05-06T03:52:49.60736Z,lawn during nighttime,34,16.55,00:02:50
,,0,2025-05-06T03:52:54.522892Z,lawn during nighttime,35,16.57,00:02:55
,,0,2025-05-06T03:52:59.639553Z,lawn during nighttime,36,16.57,00:03:00
,,0,2025-05-06T03:53:04.555723Z,lawn during nighttime,37,16.55,00:03:05
,,0,2025-05-06T03:53:09.57648Z,lawn during nighttime,38,16.49,00:03:10
,,0,2025-05-06T03:53:14.492226Z,lawn during nighttime,39,16.47,00:03:15
,,0,2025-05-06T03:53:19.609682Z,lawn during nighttime,40,16.41,00:03:20
,,0,2025-05-06T03:53:24.527967Z,lawn during nighttime,41,16.41,00:03:25
,,0,2025-05-06T03:53:29.65969Z,lawn during nighttime,42,16.43,00:03:30
,,0,2025-05-06T03:53:34.564646Z,lawn during nighttime,43,16.41,00:03:35
,,0,2025-05-06T03:53:39.684699Z,lawn during nighttime,44,16.45,00:03:40
,,0,2025-05-06T03:53:44.495463Z,lawn during nighttime,45,16.49,00:03:45
,,0,2025-05-06T03:53:49.513837Z,lawn during nighttime,46,16.51,00:03:50
,,0,2025-05-06T03:53:54.526801Z,lawn during nighttime,47,16.55,00:03:55
,,0,2025-05-06T03:53:59.548452Z,lawn during nighttime,48,16.55,00:04:00
,,0,2025-05-06T03:54:04.559522Z,lawn during nighttime,49,16.57,00:04:05
,,0,2025-05-06T03:54:09.481099Z,lawn during nighttime,50,16.59,00:04:10
,,0,2025-05-06T03:54:14.497804Z,lawn during nighttime,51,16.63,00:04:15
,,0,2025-05-06T03:54:19.515708Z,lawn during nighttime,52,16.65,00:04:20
,,0,2025-05-06T03:54:24.652178Z,lawn during nighttime,53,16.67,00:04:25
,,0,2025-05-06T03:54:29.652995Z,lawn during nighttime,54,16.59,00:04:30
,,0,2025-05-06T03:54:34.571367Z,lawn during nighttime,55,16.57,00:04:35
,,0,2025-05-06T03:54:39.484276Z,lawn during nighttime,56,16.51,00:04:40
,,0,2025-05-06T03:54:44.501615Z,lawn during nighttime,57,16.51,00:04:45
,,0,2025-05-06T03:54:49.520506Z,lawn during nighttime,58,16.45,00:04:50
,,0,2025-05-06T03:54:54.514284Z,lawn during nighttime,59,16.43,00:04:55
,,0,2025-05-06T03:54:59.554331Z,lawn during nighttime,60,16.41,00:05:00
,,0,2025-05-06T03:55:04.573364Z,lawn during nighttime,61,16.35,00:05:05
,,0,2025-05-06T03:55:09.484686Z,lawn during nighttime,62,16.37,00:05:10
,,0,2025-05-06T03:55:14.503442Z,lawn during nighttime,63,16.37,00:05:15
,,0,2025-05-06T03:55:19.524027Z,lawn during nighttime,64,16.37,00:05:20
