#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T02:29:22.281214Z,living room,1,24.61,00:00:06
,,0,2025-05-06T02:29:27.204217Z,living room,2,24.61,00:00:11
,,0,2025-05-06T02:29:32.209458Z,living room,3,24.61,00:00:16
,,0,2025-05-06T02:29:37.223922Z,living room,4,24.61,00:00:21
,,0,2025-05-06T02:29:42.221642Z,living room,5,24.61,00:00:26
,,0,2025-05-06T02:29:47.204062Z,living room,6,24.61,00:00:31
,,0,2025-05-06T02:29:52.218991Z,living room,7,24.59,00:00:36
,,0,2025-05-06T02:29:57.204647Z,living room,8,24.63,00:00:41
,,0,2025-05-06T02:30:02.206962Z,living room,9,24.61,00:00:46
,,0,2025-05-06T02:30:07.196405Z,living room,10,24.61,00:00:51
,,0,2025-05-06T02:30:12.204894Z,living room,11,24.63,00:00:56
,,0,2025-05-06T02:30:17.201809Z,living room,12,24.61,00:01:01
,,0,2025-05-06T02:30:22.209105Z,living room,13,24.61,00:01:06
,,0,2025-05-06T02:30:27.205159Z,living room,14,24.61,00:01:11
,,0,2025-05-06T02:30:32.203935Z,living room,15,24.63,00:01:16
,,0,2025-05-06T02:30:37.203993Z,living room,16,24.61,00:01:21
,,0,2025-05-06T02:30:42.20952Z,living room,17,24.63,00:01:26
,,0,2025-05-06T02:30:47.204369Z,living room,18,24.61,00:01:31
,,0,2025-05-06T02:30:52.201376Z,living room,19,24.61,00:01:36
,,0,2025-05-06T02:30:57.211309Z,living room,20,24.61,00:01:41
,,0,2025-05-06T02:31:02.214535Z,living room,21,24.59,00:01:46
,,0,2025-05-06T02:31:07.213947Z,living room,22,24.61,00:01:51
,,0,2025-05-06T02:31:12.227473Z,living room,23,24.61,00:01:56
,,0,2025-05-06T02:31:17.203842Z,living room,24,24.61,00:02:01
,,0,2025-05-06T02:31:22.201478Z,living room,25,24.61,00:02:06
,,0,2025-05-06T02:31:27.203822Z,living room,26,24.57,00:02:11
,,0,2025-05-06T02:31:32.21649Z,living room,27,24.59,00:02:16
,,0,2025-05-06T02:31:37.204164Z,living room,28,24.57,00:02:21
,,0,2025-05-06T02:31:42.225521Z,living room,29,24.57,00:02:26
