#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T12:46:27.352873Z,soldering object,1,23.91,00:00:06
,,0,2025-05-06T12:46:32.04363Z,soldering object,2,23.91,00:00:11
,,0,2025-05-06T12:46:37.059575Z,soldering object,3,23.93,00:00:16
,,0,2025-05-06T12:46:41.974481Z,soldering object,4,23.93,00:00:21
,,0,2025-05-06T12:46:46.992978Z,soldering object,5,23.93,00:00:26
,,0,2025-05-06T12:46:51.971085Z,soldering object,6,23.95,00:00:31
,,0,2025-05-06T12:46:57.14543Z,soldering object,7,23.93,00:00:36
,,0,2025-05-06T12:47:02.0331Z,soldering object,8,23.93,00:00:41
,,0,2025-05-06T12:47:06.961102Z,soldering object,9,23.95,00:00:46
,,0,2025-05-06T12:47:11.977344Z,soldering object,10,23.95,00:00:51
,,0,2025-05-06T12:47:16.999311Z,soldering object,11,23.95,00:00:56
,,0,2025-05-06T12:47:22.013399Z,soldering object,12,23.93,00:01:01
,,0,2025-05-06T12:47:27.133668Z,soldering object,13,23.95,00:01:06
,,0,2025-05-06T12:47:31.947936Z,soldering object,14,23.93,00:01:11
,,0,2025-05-06T12:47:36.964498Z,soldering object,15,23.95,00:01:16
,,0,2025-05-06T12:47:41.981862Z,soldering object,16,23.95,00:01:21
,,0,2025-05-06T12:47:46.999618Z,soldering object,17,23.97,00:01:26
,,0,2025-05-06T12:47:52.024651Z,soldering object,18,23.95,00:01:31
,,0,2025-05-06T12:47:57.13953Z,soldering object,19,23.97,00:01:36
,,0,2025-05-06T12:48:01.963876Z,soldering object,20,23.99,00:01:41
,,0,2025-05-06T12:48:06.967093Z,soldering object,21,23.95,00:01:46
,,0,2025-05-06T12:48:11.985397Z,soldering object,22,23.97,00:01:51
,,0,2025-05-06T12:48:17.131183Z,soldering object,23,24.01,00:01:56
,,0,2025-05-06T12:48:22.021409Z,soldering object,24,24.01,00:02:01
,,0,2025-05-06T12:48:27.194745Z,soldering object,25,24.25,00:02:06
,,0,2025-05-06T12:48:31.956871Z,soldering object,26,24.25,00:02:11
,,0,2025-05-06T12:48:36.983914Z,soldering object,27,24.29,00:02:16
,,0,2025-05-06T12:48:42.063271Z,soldering object,28,24.39,00:02:21
,,0,2025-05-06T12:48:47.062367Z,soldering object,29,24.43,00:02:26
,,0,2025-05-06T12:48:52.061593Z,soldering object,30,24.45,00:02:31
,,0,2025-05-06T12:48:57.0442Z,soldering object,31,24.49,00:02:36
,,0,2025-05-06T12:49:02.166117Z,soldering object,32,24.51,00:02:41
,,0,2025-05-06T12:49:06.975272Z,soldering object,33,24.61,00:02:46
,,0,2025-05-06T12:49:12.094008Z,soldering object,34,24.63,00:02:51
,,0,2025-05-06T12:49:17.010213Z,soldering object,35,24.73,00:02:56
,,0,2025-05-06T12:49:22.044104Z,soldering object,36,24.79,00:03:01
,,0,2025-05-06T12:49:27.045775Z,soldering object,37,24.87,00:03:06
,,0,2025-05-06T12:49:31.958921Z,soldering object,38,24.93,00:03:11
,,0,2025-05-06T12:49:36.978466Z,soldering object,39,25.01,00:03:16
,,0,2025-05-06T12:49:42.000654Z,soldering object,40,25.05,00:03:21
,,0,2025-05-06T12:49:47.015113Z,soldering object,41,25.11,00:03:26
,,0,2025-05-06T12:49:52.032653Z,soldering object,42,25.17,00:03:31
,,0,2025-05-06T12:49:56.950874Z,soldering object,43,25.35,00:03:36
,,0,2025-05-06T12:50:01.962816Z,soldering object,44,25.69,00:03:41
,,0,2025-05-06T12:50:06.985695Z,soldering object,45,25.83,00:03:46
,,0,2025-05-06T12:50:12.115112Z,soldering object,46,25.95,00:03:51
,,0,2025-05-06T12:50:17.135722Z,soldering object,47,26.11,00:03:56
